_id,AnoReferencia,NomeMunicipio,NomeUnidadeEscolar,MatriculasTotal,MatriculaInicial,MatriculaAposCenso,Transferidos,Cancelados,Falecido,Abandono,Aprovados,Reprovados,Cursando,OutrasSituacoes
1,2021,Campo Grande,C. DE EDUC. PROFISSIONAL EZEQUIEL FERREIRA LIMA,604,185,419,8,48,0,0,488,48,0,12
2,2021,Campo Grande,CEEJA - PROFª. IGNÊS DE LAMÔNICA GUIMARÃES,1399,958,441,0,149,1,0,0,0,0,1249
3,2021,Camapua,CEEP MARCIO ELIAS NERY,277,226,51,39,25,1,0,197,15,0,0
4,2021,Ponta Pora,CEEP-PROFª EVANILDE COSTA DA SILVA-EXTENSÃO EE ADE MARQUES,172,93,79,0,8,0,0,146,18,0,0
5,2021,Gloria de Dourados,CEEP-PROFª EVANILDE COSTA DA SILVA-EXTENSÃO EE PROFª EUFROSINA PINTO,107,0,107,0,2,0,0,90,15,0,0
6,2021,Campo Grande,CEI - JOSÉ EDUARDO MARTINS JALLAD - ZEDU,363,325,38,74,10,0,0,270,0,9,0
7,2021,Aquidauana,CENTRO DE EDUCAÇÃO PROFISSIONAL DE AQUIDAUANA GERALDO AFONSO GARCIA FERREIRA,381,261,120,18,6,0,0,328,17,0,12
8,2021,Tres Lagoas,CENTRO DE EDUCAÇÃO PROFISSIONAL EZEQUIEL FERREIRA LIMA - EXTENSÃO PROF. RAMEZ TEBET,99,56,43,0,14,0,0,84,1,0,0
9,2021,Dourados,CENTRO ESTADUAL DE EDUCAÇÃO DE JOVENS E ADULTOS DE DOURADOS - CEEJA/MS,1175,845,330,0,19,0,0,0,0,0,1156
10,2021,Dourados,CENTRO ESTADUAL DE EDUCAÇÃO DOURADOS-CEEJA MS -EXTENSÃO PENITENCIÁRIA ESTADUAL DE DOURADOS,430,202,228,87,39,0,0,304,0,0,0
11,2021,Dourados,CENTRO ESTADUAL DE EDUCAÇÃO DOURADOS-CEEJA MS -EXTENSÃO UNID EDUC DE INTERNAÇÃO -UNEI LARANJA DOCE,87,60,27,41,7,0,0,39,0,0,0
12,2021,Dourados,CENTRO ESTADUAL DE EDUCAÇÃO DOURADOS-CEEJA MS -EXTENSÃO UNIDADE EDUCAC DE INTERNAÇÃO -UNEI ESPERANÇA,11,7,4,4,0,0,0,7,0,0,0
13,2021,Chapadao do Sul,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL ARLINDO NECKEL,380,175,205,4,22,0,0,339,0,0,15
14,2021,Campo Grande,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL HÉRCULES MAYMONE,1959,1604,355,180,58,0,0,1329,390,0,2
15,2021,Campo Grande,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL PE.JOÃO GREINER,489,458,31,58,17,0,0,308,105,0,1
16,2021,Campo Grande,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL PROFª MARIA DE LOURDES WIDAL ROMA,691,654,37,42,22,1,0,568,58,0,0
17,2021,Dourados,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL PROFESSORA EVANILDE COSTA DA SILVA,462,196,266,0,29,0,0,371,62,0,0
18,2021,Navirai,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL SENADOR RAMEZ TEBET,435,141,294,7,52,0,0,317,59,0,0
19,2021,Aquidauana,CENTRO PROFIS.AQUIDAUANA GERALDO AFONSO GARCIA FERREIRA - EXTENSÃO SALA ADA MOREIRA DE BARROS,60,50,10,4,4,0,0,41,10,0,1
20,2021,Dois Irmaos do Buriti,EE 'PROFESSORA ESTEFANA CENTURION GAMBARRA',686,569,117,89,4,1,0,462,130,0,0
21,2021,Dois Irmaos do Buriti,EE 'PROFESSORA ESTEFANA CENTURION GAMBARRA'- EXTENSÃO SALA MARCOS  FREIRE ASSENTAMENTO MARCOS FREIRE,45,42,3,2,2,0,0,21,20,0,0
22,2021,Dois Irmaos do Buriti,EE 'PROFESSORA ESTEFANA CENTURION GAMBARRA'-EXTENSÃO ESTABELECIMENTO PENAL DE DOIS IRMÃOS DO BURITI,136,67,69,1,65,0,0,64,6,0,0
23,2021,Campo Grande,EE 11 DE OUTUBRO,754,674,80,106,14,1,0,540,90,0,3
24,2021,Deodapolis,EE 13 DE MAIO,964,828,136,111,1,0,0,755,95,0,2
25,2021,Eldorado,EE 13 DE MAIO,253,242,11,49,5,0,0,177,22,0,0
26,2021,Sete Quedas,EE 13 DE MAIO,704,622,82,167,3,1,0,479,54,0,0
27,2021,Ladario,EE 2 DE SETEMBRO,401,391,10,22,2,0,0,332,45,0,0
28,2021,Campo Grande,EE 26 DE AGOSTO,436,394,42,63,11,0,0,313,47,0,2
29,2021,Juti,EE 31 DE MARÇO,904,845,59,99,5,0,0,658,141,0,1
30,2021,Sete Quedas,EE 4 DE ABRIL,274,254,20,63,1,0,0,202,8,0,0
31,2021,Iguatemi,EE 8 DE MAIO,1082,944,138,146,9,0,0,832,93,0,2
32,2021,Iguatemi,EE 8 DE MAIO - EXTENSÃO ASSENTAMENTO NOSSA SENHORA AUXILIADORA,48,45,3,5,0,0,0,32,11,0,0
33,2021,Iguatemi,EE 8 DE MAIO - EXTENSÃO PYELITO KUÊ,44,30,14,6,0,0,0,27,11,0,0
34,2021,Dourados,EE ABIGAIL BORRALHO,386,362,24,46,10,0,0,293,37,0,0
35,2021,Ponta Pora,EE ADÊ MARQUES,599,554,45,98,27,0,0,441,30,0,3
36,2021,Brasilandia,EE ADILSON ALVES DA SILVA,1028,989,39,96,15,0,0,883,34,0,0
37,2021,Campo Grande,EE ADVENTOR DIVINO DE ALMEIDA,883,825,58,74,23,0,0,694,88,0,4
38,2021,Tres Lagoas,EE AFONSO FRANCISCO XAVIER TRANNIN,553,454,99,91,3,1,0,414,44,0,0
39,2021,Tres Lagoas,EE AFONSO PENA,1262,1123,139,201,42,0,0,890,125,0,4
40,2021,Laguna Carapa,EE ÁLVARO MARTINS DOS SANTOS,439,414,25,50,4,1,0,314,70,0,0
41,2021,Laguna Carapa,EE ÁLVARO MARTINS DOS SANTOS - EXTENSÃO ALDEIA RANCHO DO JACARÉ,51,51,0,1,0,1,0,41,8,0,0
42,2021,Guia Lopes da Laguna,EE ALZIRO LOPES,954,772,182,103,6,0,0,814,29,0,2
43,2021,Campo Grande,EE AMANDO DE OLIVEIRA,687,618,69,128,22,0,0,478,59,0,0
44,2021,Campo Grande,EE AMÉLIO DE CARVALHO BAÍS,341,324,17,37,6,0,0,298,0,0,0
45,2021,Selviria,EE ANA MARIA DE SOUZA,632,520,112,80,4,2,0,456,90,0,0
46,2021,Selviria,EE ANA MARIA DE SOUZA-EXTENSÃO ASSENTAMENTO SÃO JOAQUIM,48,46,2,11,1,0,0,35,1,0,0
47,2021,Ivinhema,EE ANGELINA JAIME TEBET,699,581,118,51,14,0,0,525,105,4,0
48,2021,Ivinhema,EE ANGELINA JAIME TEBET - EXTENSÃO ESTAB. PENAL MASCULINO DE REGIME FECHADO,27,12,15,0,7,0,0,20,0,0,0
49,2021,Dourados,EE ANTÔNIA DA SILVEIRA CAPILÉ,264,251,13,50,9,0,0,187,18,0,0
50,2021,Nova Alvorada do Sul,EE ANTÔNIO COELHO,521,491,30,83,18,0,0,377,43,0,0
51,2021,Campo Grande,EE ANTÔNIO DELFINO PEREIRA E C. CULT. ED. TIA EVA,205,186,19,28,4,0,0,171,2,0,0
52,2021,Navirai,EE ANTÔNIO FERNANDES,251,231,20,42,4,0,0,193,12,0,0
53,2021,Itapora,EE ANTÔNIO JOÃO RIBEIRO,1407,1065,342,162,5,0,0,1088,152,0,0
54,2021,Terenos,EE ANTÔNIO NOGUEIRA DA FONSECA,395,363,32,51,6,1,0,322,15,0,0
55,2021,Terenos,EE ANTÔNIO VALADARES,817,693,124,82,27,0,0,635,73,0,0
56,2021,Terenos,EE ANTÔNIO VALADARES - EXTENSÃO PATAGONIA,127,116,11,14,13,0,0,83,17,0,0
57,2021,Dourados,EE ANTÔNIO VICENTE AZAMBUJA,344,325,19,61,1,1,0,280,1,0,0
58,2021,Paranaiba,EE ARACILDA CÍCERO CORRÊA DA COSTA,671,573,98,97,14,0,0,502,58,0,0
59,2021,Paranaiba,EE ARACILDA CÍCERO CORRÊA DA COSTA -EXTENSÃO JOAÕ CHAVES DOS SANTOS,46,41,5,9,6,0,0,29,2,0,0
60,2021,Campo Grande,EE ARACY EUDOCIAK,1439,1186,253,152,26,0,0,1050,207,0,4
61,2021,Antonio Joao,EE ARAL MOREIRA,619,572,47,45,22,0,0,539,13,0,0
62,2021,Caarapo,EE ARCÊNIO ROJAS,327,286,41,84,6,0,0,227,10,0,0
63,2021,Campo Grande,EE ARLINDO DE ANDRADE GOMES,1377,1257,120,154,73,0,0,821,323,0,6
64,2021,Campo Grande,EE ARLINDO DE SAMPAIO JORGE,692,529,163,83,20,1,0,520,68,0,0
65,2021,Chapadao do Sul,EE AUGUSTO KRUG NETTO,739,693,46,173,11,0,0,510,45,0,0
66,2021,Nova Andradina,EE AUSTRILIO CAPILÉ CASTRO,329,302,27,60,27,0,0,234,8,0,0
67,2021,Douradina,EE BARÃO DO RIO BRANCO,660,606,54,38,9,0,0,501,112,0,0
68,2021,Douradina,EE BARÃO DO RIO BRANCO -EXT.ALDEIA PANAMBI LAGOA RICA,52,51,1,0,1,0,0,43,8,0,0
69,2021,Sao Gabriel do Oeste,EE BERNARDINO FERREIRA DA CUNHA,879,799,80,164,10,0,0,666,39,0,0
70,2021,Sao Gabriel do Oeste,EE BERNARDINO FERREIRA DA CUNHA -EXTENSÃO ESTABELECIMENTO PENAL FEMININO DE SÃO GABRIEL DO OESTE,59,31,28,21,12,0,0,24,2,0,0
71,2021,Campo Grande,EE BLANCHE DOS SANTOS PEREIRA,1189,1110,79,156,31,0,0,832,170,0,0
72,2021,Tres Lagoas,EE BOM JESUS,328,310,18,54,11,0,0,217,46,0,0
73,2021,Bonito,EE BONIFÁCIO CAMARGO GOMES,900,842,58,96,14,0,0,638,150,0,2
74,2021,Bonito,EE BONIFÁCIO CAMARGO GOMES  - EXTENSÃO DISTRITO ÁGUAS DE MIRANDA,41,41,0,2,6,0,0,24,8,0,1
75,2021,Batayporã,EE BRAZ SINIGAGLIA,691,649,42,78,16,0,0,594,3,0,0
76,2021,Miranda,EE CAETANO PINTO,803,717,86,54,38,0,0,530,180,0,1
77,2021,Maracaju,EE CAMBARAI,1184,970,214,122,20,1,0,873,159,1,8
78,2021,Camapua,EE CAMILO BONFIM,323,294,29,69,10,0,0,230,0,0,14
79,2021,Aquidauana,EE CÂNDIDO MARIANO,418,372,46,93,9,0,0,295,21,0,0
