_id,AnoReferencia,NomeMunicipio,NomeUnidadeEscolar,MatriculasTotal,MatriculaInicial,MatriculaAposCenso,Transferidos,Cancelados,Falecido,Abandono,Aprovados,Reprovados,Cursando,OutrasSituacoes
184,2026,Dourados,EE INDÍGENA INTERCULTURAL GUATEKA MARÇAL DE SOUZA -EXTENSÃO ARAPORÃ- ALDEIA BORORO,205,205,0,0,0,0,0,0,0,205,0
185,2026,Tacuru,EE INDÍGENA JASY RENDY,86,86,0,2,1,0,0,0,0,83,0
186,2026,Tacuru,EE INDÍGENA JASY RENDY -EXTENSÃO ALDEIA JAGUAPIRÉ,38,38,0,1,0,0,0,0,0,37,0
187,2026,Corumba,EE INDÍGENA JOÃO Q. DE CARVALHO - TOGHOPANAÃ,31,31,0,0,0,0,0,0,0,31,0
188,2026,Japora,EE INDÍGENA KUÑA YRUKU - MARINA LOPES,161,161,0,1,0,0,0,0,0,160,0
189,2026,Amambai,EE INDÍGENA MBO EROY GUARANI KAIOWÁ,362,362,0,2,1,0,0,0,0,359,0
190,2026,Amambai,EE INDÍGENA MBO´EROY GUARANI KAIOWÁ - EXTENSÃO BRILHO DO SOL,89,89,0,3,0,0,0,0,0,86,0
191,2026,Amambai,EE INDÍGENA MBO´EROY GUARANI KAIOWÁ - EXTENSÃO SALA COROA SAGRADA,52,52,0,0,1,0,0,0,0,51,0
192,2026,Dois Irmaos do Buriti,EE INDÍGENA NATIVIDADE ALCANTARA MARQUES,168,168,0,7,2,0,0,0,0,159,0
193,2026,Miranda,EE INDIGENA PROF. ATANASIO ALVES,76,76,0,0,0,0,0,0,0,76,0
194,2026,Nova Andradina,EE IRMAN RIBEIRO DE ALMEIDA SILVA,457,457,0,19,12,0,0,0,0,421,5
195,2026,Batayporã,EE JAN ANTONIN BATA,309,309,0,0,8,0,0,0,0,300,1
196,2026,Japora,EE JAPORÃ,370,370,0,9,1,0,0,0,0,357,3
197,2026,Japora,EE JAPORÃ - EXTENSÃO POVOADO JACAREI,139,139,0,4,0,0,0,0,0,135,0
198,2026,Deodapolis,EE JOÃO BAPTISTA PEREIRA,110,110,0,11,0,0,0,0,0,99,0
199,2026,Ponta Pora,EE JOÃO BREMBATTI CALVOSO,595,595,0,22,15,0,0,0,0,556,2
200,2026,Campo Grande,EE JOÃO CARLOS FLORES,428,428,0,19,7,0,0,0,0,394,8
201,2026,Tres Lagoas,EE JOÃO DANTAS FILGUEIRAS,970,970,0,30,22,0,0,0,0,913,5
202,2026,Bodoquena,EE JOÃO PEDRO PEDROSSIAN,176,176,0,12,1,0,0,0,0,163,0
203,2026,Inocencia,EE JOÃO PONCE DE ARRUDA,100,100,0,5,0,0,0,0,0,95,0
204,2026,Tres Lagoas,EE JOÃO PONCE DE ARRUDA,716,716,0,14,15,0,0,0,0,677,10
205,2026,Aral Moreira,EE JOÃO VITORINO MARQUES,258,258,0,35,0,0,0,0,0,222,1
206,2026,Ivinhema,EE JOAQUIM GONÇALVES LEDO,202,202,0,5,0,0,0,0,0,197,0
207,2026,Camapua,EE JOAQUIM MALAQUIAS DA SILVA,241,241,0,7,0,0,0,0,0,233,1
208,2026,Bodoquena,EE JOAQUIM MÁRIO BONFIM,546,546,0,9,1,0,0,0,0,535,1
209,2026,Bodoquena,EE JOAQUIM MÁRIO BONFIM -EXTENSÃO SALA  ASSENTAMENTO SUMATRA,19,19,0,2,1,0,0,0,0,16,0
210,2026,Bodoquena,EE JOAQUIM MÁRIO BONFIM -EXTENSÃO SALA MORRARIA DO SUL,10,10,0,0,0,0,0,0,0,10,0
211,2026,Campo Grande,EE JOAQUIM MURTINHO,1278,1278,0,52,40,0,0,0,0,1184,2
212,2026,Ponta Pora,EE JOAQUIM MURTINHO,1594,1594,0,77,16,0,0,0,0,1494,7
213,2026,Dourados,EE JOAQUIM VAZ DE OLIVEIRA,483,483,0,20,4,0,0,0,0,457,2
214,2026,Fatima do Sul,EE JONAS BELARMINO DA SILVA,195,195,0,8,2,0,0,0,0,185,0
215,2026,Chapadao do Sul,EE JORGE AMADO,821,821,0,7,14,0,0,0,0,779,21
216,2026,Chapadao do Sul,EE JORGE AMADO - EXTENSÃO ASSENTAMENTO AROEIRA,5,5,0,0,0,0,0,0,0,5,0
217,2026,Chapadao do Sul,EE JORGE AMADO - EXTENSÃO SALA PEDRA BRANCA,17,17,0,0,0,0,0,0,0,16,1
218,2026,Corguinho,EE JOSÉ ALVES QUITO,345,345,0,11,0,0,0,0,0,333,1
219,2026,Corguinho,EE JOSÉ ALVES QUITO - EXTENSÃO SALA FRANCISCO N. SOBRINHO - POVOADO TABOCO,35,35,0,0,1,0,0,0,0,34,0
220,2026,Rochedo,EE JOSÉ ALVES RIBEIRO,450,450,0,7,6,0,0,0,0,436,1
221,2026,Campo Grande,EE JOSÉ ANTÔNIO PEREIRA,620,620,0,17,24,0,0,0,0,573,6
222,2026,Campo Grande,EE JOSÉ BARBOSA RODRIGUES,450,450,0,14,9,0,0,0,0,425,2
223,2026,Porto Murtinho,EE JOSÉ BONIFÁCIO,692,692,0,8,5,0,0,0,0,676,3
224,2026,Porto Murtinho,EE JOSÉ BONIFÁCIO - EXTENSÃO SALA SANTA MARIA,5,5,0,0,0,0,0,0,0,5,0
225,2026,Tres Lagoas,EE JOSÉ FERREIRA,195,195,0,17,3,0,0,0,0,175,0
226,2026,Campo Grande,EE JOSÉ FERREIRA BARBOSA,359,359,0,13,12,0,0,0,0,316,18
227,2026,Costa Rica,EE JOSÉ FERREIRA DA COSTA,1102,1102,0,27,3,0,0,0,0,1060,12
228,2026,Santa Rita do Pardo,EE JOSÉ FERREIRA LIMA,424,424,0,12,0,0,0,0,0,412,0
229,2026,Santa Rita do Pardo,EE JOSÉ FERREIRA LIMA - EXTENSÃO ASSENTAMENTO MUTUM,36,36,0,1,1,0,0,0,0,34,0
230,2026,Santa Rita do Pardo,EE JOSÉ FERREIRA LIMA - EXTENSÃO SALA MATEIRA,6,6,0,0,0,0,0,0,0,6,0
231,2026,Paranaiba,EE JOSÉ GARCIA LEAL,705,705,0,13,19,1,0,0,0,671,1
232,2026,Paranaiba,EE JOSÉ GARCIA LEAL - EXTENSÃO ESTABELECIMENTO PENAL DE PARANAÍBA,117,117,0,0,2,0,0,0,0,115,0
233,2026,Campo Grande,EE JOSÉ MAMEDE DE AQUINO,578,578,0,23,13,0,0,0,0,538,4
234,2026,Campo Grande,EE JOSÉ MARIA HUGO RODRIGUES,1231,1231,0,31,30,0,0,0,0,1170,0
235,2026,Jaraguari,EE JOSÉ SERAFIM RIBEIRO,491,491,0,31,0,0,0,0,0,460,0
236,2026,Corumba,EE JÚLIA GONÇALVES PASSARINHO,508,508,0,8,6,0,0,0,0,493,1
237,2026,Navirai,EE JURACY ALVES CARDOSO,677,677,0,30,24,0,0,0,0,610,13
238,2026,Sidrolandia,EE KOPENOTI DE ENSINO MÉDIO PROFESSOR LÚCIO DIAS,61,61,0,2,5,0,0,0,0,54,0
239,2026,Deodapolis,EE LAGOA BONITA,157,157,0,14,1,0,0,0,0,142,0
240,2026,Ladario,EE LEME DO PRADO,604,604,0,25,15,0,0,0,0,553,11
241,2026,Ladario,EE LEME DO PRADO - EXTENSÃO SALA  MARQUÊS DE TAMANDARÉ,120,120,0,1,4,0,0,0,0,115,0
