_id,AnoReferencia,NomeMunicipio,NomeUnidadeEscolar,MatriculasTotal,MatriculaInicial,MatriculaAposCenso,Transferidos,Cancelados,Falecido,Abandono,Aprovados,Reprovados,Cursando,OutrasSituacoes
1,2024,Campo Grande,C. DE EDUC. PROFISSIONAL EZEQUIEL FERREIRA LIMA,1347,1247,100,31,44,0,0,117,21,1132,2
2,2024,Camapua,CEEP MARCIO ELIAS NERY,288,248,40,33,12,0,0,0,0,241,2
3,2024,Tres Lagoas,CEEP PROFª MARIA DE LOURDES WIDAL ROMA- EXT. ESTABELECIMENTO PENAL FEMININO DE TRÊS LAGOAS,23,0,23,0,2,0,0,0,0,20,1
4,2024,Campo Grande,CEEP PROFª MARIA DE LOURDES WIDAL ROMA-EXT.EST.PENAL FEM DE REG.SEMIABERTO ABERTO E ALBERGADA,20,0,20,0,0,0,0,0,0,20,0
5,2024,Dourados,CEEP PROFªEVANILDE COSTA DA SILVA-EXT.EST.PENAL FEM DE REG.SEMIABERTO ABERTO E ALBERGADA DE DOURADOS,37,37,0,0,7,0,0,27,0,0,3
6,2024,Ponta Pora,CEEP PROFªEVANILDE COSTA DA SILVA-EXT.EST.PENAL FEMININO DE PONTA PORÃ,15,0,15,0,0,0,0,0,0,15,0
7,2024,Rio Brilhante,CEEP PROFªEVANILDE COSTA DA SILVA-EXT.EST.PENAL FEMININO DE RIO BRILHANTE,59,40,19,0,14,0,0,28,0,15,2
8,2024,Gloria de Dourados,CEEP-PROFª EVANILDE COSTA DA SILVA-EXTENSÃO EE PROFª EUFROSINA PINTO,77,77,0,0,1,0,0,70,6,0,0
9,2024,Campo Grande,CEI - JOSÉ EDUARDO MARTINS JALLAD - ZEDU,368,361,7,12,0,0,0,0,0,355,1
10,2024,Aquidauana,CENTRO DE EDUCAÇÃO PROFISSIONAL DE AQUIDAUANA GERALDO AFONSO GARCIA FERREIRA,388,350,38,17,7,0,0,0,0,364,0
11,2024,Campo Grande,CENTRO DE EDUCAÇÃO PROFISSIONAL EZEQUIEL FERREIRA LIMA-EXT.ESTABELECIMENTO PENAL FEMININO IRMÃ IRMA,30,0,30,0,0,0,0,0,0,30,0
12,2024,Corumba,CENTRO DE EDUCAÇÃO PROFISSIONAL GERALDO AFONSO GARCIA FERREIRA-EXT EST.PENAL.FEM.CARLOS.A.J.GIORDANO,52,52,0,0,14,0,0,38,0,0,0
13,2024,Dourados,CENTRO ESTADUAL DE EDUCAÇÃO DE JOVENS E ADULTOS DE DOURADOS - CEEJA/MS,1591,1445,146,0,83,0,0,0,0,1507,1
14,2024,Dourados,CENTRO ESTADUAL DE EDUCAÇÃO DOURADOS-CEEJA MS -EXTENSÃO PENITENCIÁRIA ESTADUAL DE DOURADOS,692,405,287,116,93,0,0,170,27,285,1
15,2024,Dourados,CENTRO ESTADUAL DE EDUCAÇÃO DOURADOS-CEEJA MS -EXTENSÃO UNID EDUC DE INTERNAÇÃO -UNEI LARANJA DOCE,59,45,14,20,3,0,0,0,0,36,0
16,2024,Chapadao do Sul,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL ARLINDO NECKEL,541,527,14,37,37,0,0,51,0,413,3
