_id,AnoReferencia,NomeMunicipio,NomeUnidadeEscolar,MatriculasTotal,MatriculaInicial,MatriculaAposCenso,Transferidos,Cancelados,Falecido,Abandono,Aprovados,Reprovados,Cursando,OutrasSituacoes
1,2020,Campo Grande,C. DE EDUC. PROFISSIONAL EZEQUIEL FERREIRA LIMA,489,366,123,2,27,2,0,348,10,100,0
2,2020,Campo Grande,CEEJA - PROFª. IGNÊS DE LAMÔNICA GUIMARÃES,1181,994,187,0,119,0,0,0,0,0,1062
3,2020,Camapua,CEEP MARCIO ELIAS NERY,181,180,1,11,10,0,0,141,19,0,0
4,2020,Campo Grande,CEI - JOSÉ EDUARDO MARTINS JALLAD - ZEDU,364,361,3,2,8,0,0,354,0,0,0
5,2020,Aquidauana,CENTRO DE EDUCAÇÃO PROFISSIONAL DE AQUIDAUANA GERALDO AFONSO GARCIA FERREIRA,338,274,64,3,41,0,0,272,7,1,14
6,2020,Dourados,CENTRO ESTADUAL DE EDUCAÇÃO DE JOVENS E ADULTOS DE DOURADOS - CEEJA/MS,1152,1014,138,23,9,0,0,0,0,0,1120
7,2020,Dourados,CENTRO ESTADUAL DE EDUCAÇÃO DOURADOS-CEEJA MS -EXTENSÃO PENITENCIÁRIA ESTADUAL DE DOURADOS,441,222,219,48,43,0,0,350,0,0,0
8,2020,Dourados,CENTRO ESTADUAL DE EDUCAÇÃO DOURADOS-CEEJA MS -EXTENSÃO UNID EDUC DE INTERNAÇÃO -UNEI LARANJA DOCE,95,71,24,37,15,0,0,43,0,0,0
9,2020,Dourados,CENTRO ESTADUAL DE EDUCAÇÃO DOURADOS-CEEJA MS -EXTENSÃO UNIDADE EDUCAC DE INTERNAÇÃO -UNEI ESPERANÇA,9,8,1,5,2,0,0,2,0,0,0
10,2020,Chapadao do Sul,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL ARLINDO NECKEL,50,27,23,0,1,0,0,44,4,1,0
11,2020,Campo Grande,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL HÉRCULES MAYMONE,1896,1764,132,39,93,0,0,1194,565,0,5
12,2020,Campo Grande,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL PE.JOÃO GREINER,379,373,6,27,42,1,0,283,25,0,1
13,2020,Campo Grande,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL PROFª MARIA DE LOURDES WIDAL ROMA,671,618,53,9,12,0,0,649,1,0,0
14,2020,Dourados,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL PROFESSORA EVANILDE COSTA DA SILVA,63,38,25,0,7,0,0,52,3,1,0
15,2020,Navirai,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL SENADOR RAMEZ TEBET,80,61,19,0,6,0,0,57,15,2,0
16,2020,Aquidauana,CENTRO PROFIS AQUIDAUANA GERALDO AFONSO GARCIA FERREIRA - EXTENSÃO SALA ANTONIO SANTOS RIBEIRO,15,7,8,0,2,0,0,11,2,0,0
17,2020,Aquidauana,CENTRO PROFIS.AQUIDAUANA GERALDO AFONSO GARCIA FERREIRA - EXTENSÃO SALA ADA MOREIRA DE BARROS,48,43,5,1,5,0,0,38,4,0,0
18,2020,Dois Irmaos do Buriti,EE 'PROFESSORA ESTEFANA CENTURION GAMBARRA',658,588,70,49,9,0,0,472,101,0,27
19,2020,Dois Irmaos do Buriti,EE 'PROFESSORA ESTEFANA CENTURION GAMBARRA'- EXTENSÃO SALA MARCOS  FREIRE ASSENTAMENTO MARCOS FREIRE,34,33,1,1,1,0,0,20,4,0,8
20,2020,Dois Irmaos do Buriti,EE 'PROFESSORA ESTEFANA CENTURION GAMBARRA'-EXTENSÃO ESTABELECIMENTO PENAL DE DOIS IRMÃOS DO BURITI,150,70,80,2,95,0,0,52,1,0,0
21,2020,Campo Grande,EE 11 DE OUTUBRO,673,664,9,38,11,0,0,586,37,0,1
22,2020,Deodapolis,EE 13 DE MAIO,1005,985,20,58,20,0,0,815,112,0,0
23,2020,Eldorado,EE 13 DE MAIO,262,256,6,24,4,0,0,219,15,0,0
24,2020,Sete Quedas,EE 13 DE MAIO,769,702,67,121,9,0,0,611,28,0,0
25,2020,Ladario,EE 2 DE SETEMBRO,488,478,10,30,11,0,0,433,14,0,0
