_id,AnoReferencia,NomeMunicipio,NomeUnidadeEscolar,MatriculasTotal,MatriculaInicial,MatriculaAposCenso,Transferidos,Cancelados,Falecido,Abandono,Aprovados,Reprovados,Cursando,OutrasSituacoes
1,2023,Campo Grande,C. DE EDUC. PROFISSIONAL EZEQUIEL FERREIRA LIMA,2026,530,1496,21,175,0,0,1543,148,139,0
2,2023,Campo Grande,CEEJA - PROFª. IGNÊS DE LAMÔNICA GUIMARÃES,1755,1274,481,0,43,1,0,0,1611,100,0
3,2023,Camapua,CEEP MARCIO ELIAS NERY,310,295,15,86,22,0,0,201,1,0,0
4,2023,Tres Lagoas,CEEP PROFª MARIA DE LOURDES WIDAL ROMA- EXT. ESTABELECIMENTO PENAL FEMININO DE TRÊS LAGOAS,54,26,28,0,22,0,0,16,0,0,16
5,2023,Campo Grande,CEEP PROFª MARIA DE LOURDES WIDAL ROMA- EXT.ESTA.PENAL SEGURANÇA MÁXIMA JAIR FERREIRA DE CARVALHO,37,20,17,0,8,0,0,17,0,0,12
6,2023,Campo Grande,CEEP PROFª MARIA DE LOURDES WIDAL ROMA-EXT.EST.PENAL FEM DE REG.SEMIABERTO ABERTO E ALBERGADA,47,47,0,0,4,0,0,34,0,0,9
7,2023,Ponta Pora,CEEP PROFªEVANILDE COSTA DA SILVA-EXT.EST.PENAL FEMININO DE PONTA PORÃ,19,10,9,0,1,0,0,18,0,0,0
8,2023,Dourados,CEEP PROFªEVANILDE COSTA DA SILVA-EXTENSÃO PENITENCIÁRIA ESTADUAL DE DOURADOS,54,34,20,0,14,0,0,40,0,0,0
9,2023,Ponta Pora,CEEP-PROFª EVANILDE COSTA DA SILVA-EXTENSÃO EE ADE MARQUES,63,63,0,0,0,0,0,63,0,0,0
10,2023,Gloria de Dourados,CEEP-PROFª EVANILDE COSTA DA SILVA-EXTENSÃO EE PROFª EUFROSINA PINTO,167,68,99,0,2,0,0,157,8,0,0
11,2023,Campo Grande,CEI - JOSÉ EDUARDO MARTINS JALLAD - ZEDU,345,327,18,19,5,0,0,321,0,0,0
12,2023,Aquidauana,CENTRO DE EDUCAÇÃO PROFISSIONAL DE AQUIDAUANA GERALDO AFONSO GARCIA FERREIRA,374,255,119,28,16,0,0,269,12,0,49
13,2023,Tres Lagoas,CENTRO DE EDUCAÇÃO PROFISSIONAL EZEQUIEL FERREIRA LIMA - EXTENSÃO PROF. RAMEZ TEBET,37,37,0,0,0,0,0,37,0,0,0
14,2023,Aquidauana,CENTRO DE EDUCAÇÃO PROFISSIONAL GERALDO AFONSO GARCIA FERREIRA -EXT EST. PENAL  DE REGIME SEMIABERTO  ABERTO E ASSISTÊNCIA AO ALBERGADO DE AQUIDAUANA,44,24,20,0,4,0,0,9,0,0,31
15,2023,Corumba,CENTRO DE EDUCAÇÃO PROFISSIONAL GERALDO AFONSO GARCIA FERREIRA -EXT EST. PENAL DE CORUMBÁ,41,25,16,0,5,0,0,32,0,0,4
16,2023,Dourados,CENTRO ESTADUAL DE EDUCAÇÃO DE JOVENS E ADULTOS DE DOURADOS - CEEJA/MS,1642,1254,388,1,31,0,0,0,1609,1,0
17,2023,Dourados,CENTRO ESTADUAL DE EDUCAÇÃO DOURADOS-CEEJA MS -EXTENSÃO PENITENCIÁRIA ESTADUAL DE DOURADOS,663,338,325,247,39,0,0,366,10,1,0
18,2023,Dourados,CENTRO ESTADUAL DE EDUCAÇÃO DOURADOS-CEEJA MS -EXTENSÃO UNID EDUC DE INTERNAÇÃO -UNEI LARANJA DOCE,82,57,25,32,3,0,0,47,0,0,0
19,2023,Dourados,CENTRO ESTADUAL DE EDUCAÇÃO DOURADOS-CEEJA MS -EXTENSÃO UNIDADE EDUCAC DE INTERNAÇÃO -UNEI ESPERANÇA,7,6,1,5,0,0,0,1,0,1,0
20,2023,Chapadao do Sul,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL ARLINDO NECKEL,558,435,123,44,87,0,0,228,192,0,7
21,2023,Campo Grande,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL HÉRCULES MAYMONE,2219,1935,284,375,62,0,0,1299,297,1,185
22,2023,Sao Gabriel do Oeste,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL MARCIO ELIAS NERY-EXT.EST.PENAL.FEM.DE SÃO GABRIEL DO OESTE,53,29,24,0,13,0,0,40,0,0,0
23,2023,Campo Grande,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL PE.JOÃO GREINER,820,575,245,110,72,0,0,498,113,1,26
24,2023,Campo Grande,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL PROFª MARIA DE LOURDES WIDAL ROMA,1029,837,192,103,32,1,0,804,89,0,0
25,2023,Dourados,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL PROFESSORA EVANILDE COSTA DA SILVA,561,226,335,0,54,0,0,446,58,0,3
26,2023,Navirai,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL SENADOR RAMEZ TEBET,398,269,129,203,25,0,0,156,3,8,3
27,2023,Navirai,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL SENADOR RAMEZ TEBET-EXT. EST.PENAL DE REGIME SEMIABERTO  ABERTO E ASSISTÊNCIA ALBERGADO DE NAVIRAÍ,23,23,0,0,23,0,0,0,0,0,0
28,2023,Nova Andradina,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL SENADOR RAMEZ TEBET-EXT. PENAL MASC. DE REGIME FECHADO,46,20,26,0,6,0,0,39,0,0,1
29,2023,Navirai,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL SENADOR RAMEZ TEBET-EXT. PENITENCIÁRIA DE SEGURANÇA MÁXIMA,20,20,0,0,20,0,0,0,0,0,0
30,2023,Campo Grande,CENTRO ESTADUAL DE FORMAÇÃO DE PROFESSORES INDÍGENAS DE MATO GROSSO DO SUL -EXTENSÃO ELISEU LILI,43,0,43,0,7,0,0,30,0,0,6
31,2023,Aquidauana,CENTRO PROFIS.AQUIDAUANA GERALDO AFONSO GARCIA FERREIRA - EXTENSÃO SALA ADA MOREIRA DE BARROS,61,61,0,4,11,0,0,43,3,0,0
32,2023,Dois Irmaos do Buriti,EE 'PROFESSORA ESTEFANA CENTURION GAMBARRA',552,462,90,67,2,0,0,422,27,0,34
33,2023,Dois Irmaos do Buriti,EE 'PROFESSORA ESTEFANA CENTURION GAMBARRA'- EXTENSÃO SALA MARCOS  FREIRE ASSENTAMENTO MARCOS FREIRE,34,32,2,3,0,0,0,25,2,0,4
34,2023,Dois Irmaos do Buriti,EE 'PROFESSORA ESTEFANA CENTURION GAMBARRA'-EXTENSÃO ESTABELECIMENTO PENAL DE DOIS IRMÃOS DO BURITI,113,51,62,5,35,0,0,69,4,0,0
35,2023,Campo Grande,EE 11 DE OUTUBRO,806,774,32,191,21,0,0,526,63,0,5
36,2023,Deodapolis,EE 13 DE MAIO,959,838,121,95,17,1,0,710,136,0,0
37,2023,Eldorado,EE 13 DE MAIO,160,148,12,46,5,0,0,107,2,0,0
38,2023,Sete Quedas,EE 13 DE MAIO,775,712,63,151,24,0,0,546,54,0,0
39,2023,Ladario,EE 2 DE SETEMBRO,398,380,18,57,2,0,0,333,5,0,1
40,2023,Campo Grande,EE 26 DE AGOSTO,318,281,37,123,10,0,0,172,12,0,1
41,2023,Juti,EE 31 DE MARÇO,831,815,16,141,2,0,0,570,118,0,0
42,2023,Sete Quedas,EE 4 DE ABRIL,194,183,11,42,0,0,0,150,2,0,0
43,2023,Iguatemi,EE 8 DE MAIO,1109,1014,95,180,19,0,0,848,34,0,28
44,2023,Iguatemi,EE 8 DE MAIO - EXTENSÃO ASSENTAMENTO NOSSA SENHORA AUXILIADORA,38,38,0,6,0,0,0,23,0,0,9
45,2023,Iguatemi,EE 8 DE MAIO - EXTENSÃO PYELITO KUÊ,31,31,0,5,1,0,0,17,7,0,1
46,2023,Dourados,EE ABIGAIL BORRALHO,410,394,16,62,30,0,0,284,34,0,0
47,2023,Ponta Pora,EE ADÊ MARQUES,492,455,37,103,22,0,0,358,5,0,4
48,2023,Brasilandia,EE ADILSON ALVES DA SILVA,773,755,18,92,6,0,0,620,55,0,0
49,2023,Campo Grande,EE ADVENTOR DIVINO DE ALMEIDA,996,987,9,119,59,0,0,752,54,0,12
