_id,AnoReferencia,NomeMunicipio,NomeUnidadeEscolar,MatriculasTotal,MatriculaInicial,MatriculaAposCenso,Transferidos,Cancelados,Falecido,Abandono,Aprovados,Reprovados,Cursando,OutrasSituacoes
1,2022,Campo Grande,C. DE EDUC. PROFISSIONAL EZEQUIEL FERREIRA LIMA,2146,329,1817,20,67,0,0,1896,101,0,62
2,2022,Campo Grande,CEEJA - PROFª. IGNÊS DE LAMÔNICA GUIMARÃES,1736,1408,328,0,182,0,0,0,0,0,1554
3,2022,Camapua,CEEP MARCIO ELIAS NERY,248,227,21,42,25,0,0,173,8,0,0
4,2022,Tres Lagoas,CEEP PROFª MARIA DE LOURDES WIDAL ROMA- EXT. COLÔNIA PENAL INDUSTRIAL PARACELSO DE LIMA VIEIRA JESUS,45,28,17,0,8,0,0,25,3,0,9
5,2022,Tres Lagoas,CEEP PROFª MARIA DE LOURDES WIDAL ROMA- EXT. PENITENCIÁRIA DE TRÊS LAGOAS,43,23,20,0,6,0,0,35,0,0,2
6,2022,Campo Grande,CEEP PROFª MARIA DE LOURDES WIDAL ROMA- EXT.ESTA.PENAL SEGURANÇA MÁXIMA JAIR FERREIRA DE CARVALHO,47,0,47,0,8,0,0,33,0,0,6
7,2022,Campo Grande,CEEP PROFª MARIA DE LOURDES WIDAL ROMA-EXT.EST.PENAL FEM DE REG.SEMIABERTO ABERTO E ALBERGADA,86,41,45,0,8,0,0,66,2,0,10
8,2022,Ponta Pora,CEEP PROFªEVANILDE COSTA DA SILVA-EXT. UNIDADE PENAL RICARDO BRANDÃO,44,0,44,0,4,0,0,39,0,0,1
9,2022,Dourados,CEEP PROFªEVANILDE COSTA DA SILVA-EXT.EST.PENAL FEM DE REG.SEMIABERTO ABERTO E ALBERGADA DE DOURADOS,82,43,39,0,7,0,0,69,0,0,6
10,2022,Jatei,CEEP PROFªEVANILDE COSTA DA SILVA-EXT.EST.PENAL FEM.LUIZ PEREIRA DA SILVA,43,43,0,0,3,0,0,38,1,0,1
11,2022,Rio Brilhante,CEEP PROFªEVANILDE COSTA DA SILVA-EXT.EST.PENAL FEMININO DE RIO BRILHANTE,40,22,18,0,2,0,0,36,0,0,2
12,2022,Dourados,CEEP PROFªEVANILDE COSTA DA SILVA-EXT.EST.PENAL MASC DE REG.SEMIABERTO E ABERTO DE DOURADOS,95,0,95,0,36,0,0,35,0,0,24
13,2022,Ivinhema,CEEP PROFªEVANILDE COSTA DA SILVA-EXT.EST.PENAL MASC DE REGIME FECHADO DE IVINHEMA,47,0,47,0,9,0,0,35,0,0,3
14,2022,Caarapo,CEEP PROFªEVANILDE COSTA DA SILVA-EXT.EST.PENAL MASCULINO DE REG.FECHADO DE CAARAPÓ,45,0,45,0,5,0,0,39,0,0,1
15,2022,Dourados,CEEP PROFªEVANILDE COSTA DA SILVA-EXTENSÃO PENITENCIÁRIA ESTADUAL DE DOURADOS,40,0,40,0,5,0,0,30,0,0,5
16,2022,Ponta Pora,CEEP-PROFª EVANILDE COSTA DA SILVA-EXTENSÃO EE ADE MARQUES,67,0,67,0,1,0,0,63,3,0,0
17,2022,Gloria de Dourados,CEEP-PROFª EVANILDE COSTA DA SILVA-EXTENSÃO EE PROFª EUFROSINA PINTO,152,76,76,0,0,0,0,138,14,0,0
18,2022,Campo Grande,CEI - JOSÉ EDUARDO MARTINS JALLAD - ZEDU,328,309,19,19,5,0,0,304,0,0,0
19,2022,Aquidauana,CENTRO DE EDUCAÇÃO PROFISSIONAL DE AQUIDAUANA GERALDO AFONSO GARCIA FERREIRA,393,241,152,14,13,0,0,313,45,0,8
20,2022,Tres Lagoas,CENTRO DE EDUCAÇÃO PROFISSIONAL EZEQUIEL FERREIRA LIMA - EXTENSÃO PROF. RAMEZ TEBET,43,40,3,1,2,0,0,37,3,0,0
21,2022,Paranaiba,CENTRO DE EDUCAÇÃO PROFISSIONAL EZEQUIEL FERREIRA LIMA -EXTENSÃO ESTABELECIMENTO PENAL DE PARANAÍBA,43,0,43,0,0,0,0,40,0,0,3
22,2022,Cassilandia,CENTRO DE EDUCAÇÃO PROFISSIONAL EZEQUIEL FERREIRA LIMA-EXT. ESTABELECIMENTO PENAL DE CASSILÂNDIA,42,0,42,0,4,0,0,38,0,0,0
23,2022,Campo Grande,CENTRO DE EDUCAÇÃO PROFISSIONAL EZEQUIEL FERREIRA LIMA-EXT.ESTABELECIMENTO PENAL FEMININO IRMÃ IRMA,46,46,0,0,6,0,0,36,0,0,4
24,2022,Campo Grande,CENTRO DE EDUCAÇÃO PROFISSIONAL EZEQUIEL FERREIRA LIMA-EXT.INSTITUTO PENAL DE CAMPO GRANDE,79,22,57,0,8,0,0,68,0,0,3
25,2022,Aquidauana,CENTRO DE EDUCAÇÃO PROFISSIONAL GERALDO AFONSO GARCIA FERREIRA -EXT EST. PENAL  DE REGIME SEMIABERTO  ABERTO E ASSISTÊNCIA AO ALBERGADO DE AQUIDAUANA,69,31,38,0,14,0,0,27,25,0,3
26,2022,Aquidauana,CENTRO DE EDUCAÇÃO PROFISSIONAL GERALDO AFONSO GARCIA FERREIRA -EXT EST. PENAL DE AQUIDAUANA,38,0,38,0,16,0,0,20,0,0,2
27,2022,Jardim,CENTRO DE EDUCAÇÃO PROFISSIONAL GERALDO AFONSO GARCIA FERREIRA -EXT EST. PENAL MÁXIMO ROMERO,42,24,18,0,5,0,0,33,0,0,4
28,2022,Dois Irmaos do Buriti,CENTRO DE EDUCAÇÃO PROFISSIONAL GERALDO AFONSO GARCIA FERREIRA -EXT.PNET. DE DOIS IRMÃO DO BURITI,32,0,32,0,0,0,0,24,8,0,0
29,2022,Corumba,CENTRO DE EDUCAÇÃO PROFISSIONAL GERALDO AFONSO GARCIA FERREIRA-EXT EST.PENAL.FEM.CARLOS.A.J.GIORDANO,45,45,0,0,6,0,0,36,1,0,2
30,2022,Dourados,CENTRO ESTADUAL DE EDUCAÇÃO DE JOVENS E ADULTOS DE DOURADOS - CEEJA/MS,1540,1187,353,0,6,0,0,0,0,0,1534
31,2022,Dourados,CENTRO ESTADUAL DE EDUCAÇÃO DOURADOS-CEEJA MS -EXTENSÃO PENITENCIÁRIA ESTADUAL DE DOURADOS,400,179,221,125,11,0,0,254,9,1,0
32,2022,Dourados,CENTRO ESTADUAL DE EDUCAÇÃO DOURADOS-CEEJA MS -EXTENSÃO UNID EDUC DE INTERNAÇÃO -UNEI LARANJA DOCE,73,39,34,20,1,0,0,49,3,0,0
33,2022,Dourados,CENTRO ESTADUAL DE EDUCAÇÃO DOURADOS-CEEJA MS -EXTENSÃO UNIDADE EDUCAC DE INTERNAÇÃO -UNEI ESPERANÇA,11,5,6,3,0,0,0,6,1,1,0
34,2022,Chapadao do Sul,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL ARLINDO NECKEL,446,309,137,16,28,0,0,209,12,0,181
35,2022,Campo Grande,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL HÉRCULES MAYMONE,2146,1871,275,334,59,0,0,1413,186,2,152
36,2022,Campo Grande,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL PE.JOÃO GREINER,503,467,36,84,26,1,0,328,51,0,13
37,2022,Campo Grande,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL PROFª MARIA DE LOURDES WIDAL ROMA,833,693,140,92,55,0,0,584,102,0,0
38,2022,Dourados,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL PROFESSORA EVANILDE COSTA DA SILVA,516,207,309,0,25,0,0,420,71,0,0
39,2022,Navirai,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL SENADOR RAMEZ TEBET,407,269,138,31,10,0,0,249,8,0,109
40,2022,Navirai,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL SENADOR RAMEZ TEBET-EXT. EST.PENAL DE REGIME SEMIABERTO  ABERTO E ASSISTÊNCIA ALBERGADO DE NAVIRAÍ,51,34,17,0,3,0,0,24,0,0,24
41,2022,Bataguassu,CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL SENADOR RAMEZ TEBET-EXT.ESTABELECIMENTO PENAL DE BATAGUASSU,42,0,42,0,2,0,0,40,0,0,0
42,2022,Aquidauana,CENTRO PROFIS.AQUIDAUANA GERALDO AFONSO GARCIA FERREIRA - EXTENSÃO SALA ADA MOREIRA DE BARROS,62,57,5,11,3,0,0,41,0,0,7
